failure_number,role,fixture_id,variant_id,repeat_idx,status,failure_class,quality_score,zero_tolerance_failure_types,scenario_group,fixture_input,prompt,expected,failure_description,raw_output_path,parsed_output_path
67,durability_filter,ambiguous_sam_001,base,0,quality_fail,quality_failure,0.0,,ambiguous_sam,Existing entities: Sam from Goldman; Sam from Point72. New message: Sam mentioned that he likes Bill Evans.,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: ambiguous_sam_001
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
Existing entities: Sam from Goldman; Sam from Point72. New message: Sam mentioned that he likes Bill Evans.","{""decision_any"": [""needs_user_choice"", ""needs_clarification""], ""expected_durable"": false, ""must_include"": [""Sam from Goldman"", ""Sam from Point72"", ""Bill Evans""], ""repair_terms"": [""Sam from Goldman"", ""Sam from Point72"", ""new Sam"", ""cancel""]}","Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__ambiguous_sam_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__ambiguous_sam_001__0.json
68,durability_filter,mixed_language_open_question_001,base,0,quality_fail,quality_failure,0.0,,mixed_language_open_question,Need to research rapporto tra linguaggio e intelligence umana.,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: mixed_language_open_question_001
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
Need to research rapporto tra linguaggio e intelligence umana.","{""decision_any"": [""commit_success"", ""commit_with_warning""], ""expected_durable"": true, ""memory_kinds_any"": [""research_question"", ""open_question""], ""must_include"": [""intelligence""], ""must_include_any"": [""language"", ""linguaggio""]}","Required terms are missing from the response: intelligence. Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__mixed_language_open_question_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__mixed_language_open_question_001__0.json
69,durability_filter,mixed_language_open_question_001,context,0,quality_fail,quality_failure,0.0,,mixed_language_open_question,"For context, Need to research rapporto tra linguaggio e intelligence umana.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: mixed_language_open_question_001__context
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
For context, Need to research rapporto tra linguaggio e intelligence umana.","{""decision_any"": [""commit_success"", ""commit_with_warning""], ""expected_durable"": true, ""memory_kinds_any"": [""research_question"", ""open_question""], ""must_include"": [""intelligence""], ""must_include_any"": [""language"", ""linguaggio""]}","Required terms are missing from the response: intelligence. Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__mixed_language_open_question_001__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__mixed_language_open_question_001__context__0.json
70,durability_filter,mixed_language_open_question_001,punctuation,0,quality_fail,quality_failure,0.0,,mixed_language_open_question,Need to research rapporto tra linguaggio e intelligence umana,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: mixed_language_open_question_001__punctuation
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
Need to research rapporto tra linguaggio e intelligence umana","{""decision_any"": [""commit_success"", ""commit_with_warning""], ""expected_durable"": true, ""memory_kinds_any"": [""research_question"", ""open_question""], ""must_include"": [""intelligence""], ""must_include_any"": [""language"", ""linguaggio""]}","Required terms are missing from the response: intelligence. Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__mixed_language_open_question_001__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__mixed_language_open_question_001__punctuation__0.json
71,durability_filter,slack_retry_event_001,base,0,quality_fail,quality_failure,0.0,,slack_retry_event,Same Slack event ID delivered twice for: Sam from Goldman likes Bill Evans.,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: slack_retry_event_001
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
Same Slack event ID delivered twice for: Sam from Goldman likes Bill Evans.","{""decision_any"": [""duplicate"", ""commit_with_warning"", ""commit_success""], ""expected_durable"": true, ""must_include"": [""Slack"", ""duplicate""], ""must_not_include"": [""two ingestion runs committed""]}","Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__slack_retry_event_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__slack_retry_event_001__0.json
72,durability_filter,slack_conflict_buttons_001,base,0,quality_fail,quality_failure,0.0,,slack_conflict_buttons,Existing: Sam works at Goldman. /brain remember Sam left Goldman and joined Point72.,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: slack_conflict_buttons_001
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
Existing: Sam works at Goldman. /brain remember Sam left Goldman and joined Point72.","{""decision_any"": [""needs_user_choice"", ""commit_with_warning""], ""expected_durable"": false, ""must_include"": [""Goldman"", ""Point72""], ""repair_terms"": [""Approve supersession"", ""Keep both"", ""Reject new"", ""Edit""]}","Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__slack_conflict_buttons_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__slack_conflict_buttons_001__0.json
73,durability_filter,slack_conflict_buttons_001,context,0,quality_fail,quality_failure,0.0,,slack_conflict_buttons,"For context, Existing: Sam works at Goldman. /brain remember Sam left Goldman and joined Point72.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: slack_conflict_buttons_001__context
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
For context, Existing: Sam works at Goldman. /brain remember Sam left Goldman and joined Point72.","{""decision_any"": [""needs_user_choice"", ""commit_with_warning""], ""expected_durable"": false, ""must_include"": [""Goldman"", ""Point72""], ""repair_terms"": [""Approve supersession"", ""Keep both"", ""Reject new"", ""Edit""]}","Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__slack_conflict_buttons_001__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__slack_conflict_buttons_001__context__0.json
74,durability_filter,slack_conflict_buttons_001,punctuation,0,quality_fail,quality_failure,0.0,,slack_conflict_buttons,Existing - Sam works at Goldman /brain remember Sam left Goldman and joined Point72,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: slack_conflict_buttons_001__punctuation
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
Existing - Sam works at Goldman /brain remember Sam left Goldman and joined Point72","{""decision_any"": [""needs_user_choice"", ""commit_with_warning""], ""expected_durable"": false, ""must_include"": [""Goldman"", ""Point72""], ""repair_terms"": [""Approve supersession"", ""Keep both"", ""Reject new"", ""Edit""]}","Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__slack_conflict_buttons_001__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__slack_conflict_buttons_001__punctuation__0.json
75,durability_filter,idempotent_retry_same_message_001,base,0,quality_fail,quality_failure,0.0,,idempotent_retry,Same input delivered three times: Sam from Goldman mentioned that he likes Bill Evans.,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: idempotent_retry_same_message_001
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
Same input delivered three times: Sam from Goldman mentioned that he likes Bill Evans.","{""decision_any"": [""commit_with_warning"", ""duplicate"", ""commit_success""], ""expected_durable"": true, ""must_include"": [""duplicate"", ""Bill Evans""], ""must_not_include"": [""three current memories""]}","Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__idempotent_retry_same_message_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__idempotent_retry_same_message_001__0.json
76,durability_filter,validator_blocks_transcript_as_memory_001,base,0,quality_fail,quality_failure,0.0,,validator_blocks_transcript,LLM proposal: one conversation_summary card containing an entire 8000 word transcript.,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: validator_blocks_transcript_as_memory_001
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
LLM proposal: one conversation_summary card containing an entire 8000 word transcript.","{""decision"": ""propose_repair"", ""expected_durable"": true, ""must_include"": [""source_material_as_memory"", ""store_source_and_extract""]}","Required terms are missing from the response: source_material_as_memory, store_source_and_extract. Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__validator_blocks_transcript_as_memory_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__validator_blocks_transcript_as_memory_001__0.json
77,durability_filter,validator_blocks_transcript_as_memory_001,punctuation,0,quality_fail,quality_failure,0.0,,validator_blocks_transcript,LLM proposal - one conversation_summary card containing an entire 8000 word transcript,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: validator_blocks_transcript_as_memory_001__punctuation
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
LLM proposal - one conversation_summary card containing an entire 8000 word transcript","{""decision"": ""propose_repair"", ""expected_durable"": true, ""must_include"": [""source_material_as_memory"", ""store_source_and_extract""]}","Required terms are missing from the response: source_material_as_memory, store_source_and_extract. Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__validator_blocks_transcript_as_memory_001__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__validator_blocks_transcript_as_memory_001__punctuation__0.json
78,durability_filter,validator_blocks_transcript_as_memory_001,context,0,quality_fail,quality_failure,0.0,,validator_blocks_transcript,"For context, LLM proposal: one conversation_summary card containing an entire 8000 word transcript.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: validator_blocks_transcript_as_memory_001__context
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
For context, LLM proposal: one conversation_summary card containing an entire 8000 word transcript.","{""decision"": ""propose_repair"", ""expected_durable"": true, ""must_include"": [""source_material_as_memory"", ""store_source_and_extract""]}","Required terms are missing from the response: source_material_as_memory, store_source_and_extract. Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__validator_blocks_transcript_as_memory_001__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__validator_blocks_transcript_as_memory_001__context__0.json
79,durability_filter,validator_blocks_high_confidence_overwrite_001,context,0,quality_fail,quality_failure,0.0,,validator_blocks_overwrite,"For context, Existing: Sara is Daniele's daughter. LLM proposes: Sara is Daniele's niece.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: validator_blocks_high_confidence_overwrite_001__context
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
For context, Existing: Sara is Daniele's daughter. LLM proposes: Sara is Daniele's niece.","{""decision"": ""needs_user_choice"", ""expected_durable"": true, ""must_include"": [""high_confidence_conflict""]}","Required terms are missing from the response: high_confidence_conflict. Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__validator_blocks_high_confidence_overwrite_001__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__validator_blocks_high_confidence_overwrite_001__context__0.json
80,durability_filter,validator_blocks_high_confidence_overwrite_001,base,0,quality_fail,quality_failure,0.0,,validator_blocks_overwrite,Existing: Sara is Daniele's daughter. LLM proposes: Sara is Daniele's niece.,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: validator_blocks_high_confidence_overwrite_001
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
Existing: Sara is Daniele's daughter. LLM proposes: Sara is Daniele's niece.","{""decision"": ""needs_user_choice"", ""expected_durable"": true, ""must_include"": [""high_confidence_conflict""]}","Required terms are missing from the response: high_confidence_conflict. Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__validator_blocks_high_confidence_overwrite_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__validator_blocks_high_confidence_overwrite_001__0.json
81,durability_filter,validator_blocks_high_confidence_overwrite_001,punctuation,0,quality_fail,quality_failure,0.0,,validator_blocks_overwrite,Existing - Sara is Daniele's daughter LLM proposes - Sara is Daniele's niece,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: durability_filter
Fixture ID: validator_blocks_high_confidence_overwrite_001__punctuation
Role contract:
- Decide only whether the input is durable enough to store; return durable plus decision store, do_not_store, or needs_clarification.
- Do not extract memory cards, classify entities, produce repair options, or generate receipts.
Input:
Existing - Sara is Daniele's daughter LLM proposes - Sara is Daniele's niece","{""decision"": ""needs_user_choice"", ""expected_durable"": true, ""must_include"": [""high_confidence_conflict""]}","Required terms are missing from the response: high_confidence_conflict. Lowest subscores: decision_correctness=0.00, durability_decision=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__durability_filter__validator_blocks_high_confidence_overwrite_001__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__durability_filter__validator_blocks_high_confidence_overwrite_001__punctuation__0.json
82,entity_candidate_ranker,entity_ambiguous_sam_two_people,punctuation,0,zero_tolerance_fail,zero_tolerance_failure,0.2,entity_overmerge,ambiguous_sam,"Existing entities - Sam from Goldman (person), Sam from Point72 (person) New message - Sam likes early Coltrane","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: entity_candidate_ranker
Fixture ID: entity_ambiguous_sam_two_people__punctuation
Input:
Existing entities - Sam from Goldman (person), Sam from Point72 (person) New message - Sam likes early Coltrane","{""decision"": ""needs_clarification"", ""entity_action"": ""needs_clarification"", ""must_include"": [""Sam"", ""Goldman"", ""Point72""]}","Zero-tolerance failure: entity_overmerge. Lowest subscores: decision_correctness=0.00, entity_safety=0.00, recall_quality=0.33.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__entity_candidate_ranker__entity_ambiguous_sam_two_people__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__entity_candidate_ranker__entity_ambiguous_sam_two_people__punctuation__0.json
83,entity_candidate_ranker,entity_ambiguous_sam_two_people,context,0,zero_tolerance_fail,zero_tolerance_failure,0.2,entity_overmerge,ambiguous_sam,"For context, Existing entities: Sam from Goldman (person), Sam from Point72 (person). New message: Sam likes early Coltrane.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: entity_candidate_ranker
Fixture ID: entity_ambiguous_sam_two_people__context
Input:
For context, Existing entities: Sam from Goldman (person), Sam from Point72 (person). New message: Sam likes early Coltrane.","{""decision"": ""needs_clarification"", ""entity_action"": ""needs_clarification"", ""must_include"": [""Sam"", ""Goldman"", ""Point72""]}","Zero-tolerance failure: entity_overmerge. Lowest subscores: decision_correctness=0.00, entity_safety=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__entity_candidate_ranker__entity_ambiguous_sam_two_people__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__entity_candidate_ranker__entity_ambiguous_sam_two_people__context__0.json
84,entity_candidate_ranker,entity_ambiguous_sam_two_people,base,0,zero_tolerance_fail,zero_tolerance_failure,0.2,entity_overmerge,ambiguous_sam,"Existing entities: Sam from Goldman (person), Sam from Point72 (person). New message: Sam likes early Coltrane.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: entity_candidate_ranker
Fixture ID: entity_ambiguous_sam_two_people
Input:
Existing entities: Sam from Goldman (person), Sam from Point72 (person). New message: Sam likes early Coltrane.","{""decision"": ""needs_clarification"", ""entity_action"": ""needs_clarification"", ""must_include"": [""Sam"", ""Goldman"", ""Point72""]}","Zero-tolerance failure: entity_overmerge. Lowest subscores: decision_correctness=0.00, entity_safety=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__entity_candidate_ranker__entity_ambiguous_sam_two_people__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__entity_candidate_ranker__entity_ambiguous_sam_two_people__0.json
85,entity_candidate_ranker,entity_alias_sam_goldman,base,0,quality_fail,quality_failure,0.2,,entity_alias,"Existing entity: Sam from Goldman, aliases Sam G, Goldman Sam. New message: Sam G likes Bill Evans.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: entity_candidate_ranker
Fixture ID: entity_alias_sam_goldman
Input:
Existing entity: Sam from Goldman, aliases Sam G, Goldman Sam. New message: Sam G likes Bill Evans.","{""entity_action"": ""use_existing"", ""must_include"": [""Sam from Goldman"", ""Bill Evans""]}",Lowest subscores: entity_safety=0.00.,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__entity_candidate_ranker__entity_alias_sam_goldman__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__entity_candidate_ranker__entity_alias_sam_goldman__0.json
86,entity_candidate_ranker,entity_alias_sam_goldman,context,0,quality_fail,quality_failure,0.2,,entity_alias,"For context, Existing entity: Sam from Goldman, aliases Sam G, Goldman Sam. New message: Sam G likes Bill Evans.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: entity_candidate_ranker
Fixture ID: entity_alias_sam_goldman__context
Input:
For context, Existing entity: Sam from Goldman, aliases Sam G, Goldman Sam. New message: Sam G likes Bill Evans.","{""entity_action"": ""use_existing"", ""must_include"": [""Sam from Goldman"", ""Bill Evans""]}",Lowest subscores: entity_safety=0.00.,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__entity_candidate_ranker__entity_alias_sam_goldman__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__entity_candidate_ranker__entity_alias_sam_goldman__context__0.json
87,entity_candidate_ranker,entity_alias_sam_goldman,punctuation,0,quality_fail,quality_failure,0.2,,entity_alias,"Existing entity - Sam from Goldman, aliases Sam G, Goldman Sam New message - Sam G likes Bill Evans","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: entity_candidate_ranker
Fixture ID: entity_alias_sam_goldman__punctuation
Input:
Existing entity - Sam from Goldman, aliases Sam G, Goldman Sam New message - Sam G likes Bill Evans","{""entity_action"": ""use_existing"", ""must_include"": [""Sam from Goldman"", ""Bill Evans""]}","Lowest subscores: entity_safety=0.00, recall_quality=0.50.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__entity_candidate_ranker__entity_alias_sam_goldman__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__entity_candidate_ranker__entity_alias_sam_goldman__punctuation__0.json
88,entity_candidate_ranker,ambiguous_place_001,base,0,zero_tolerance_fail,zero_tolerance_failure,0.2,entity_overmerge,ambiguous_place,Existing: Brutto restaurant in London; Brutto article alias. New note: Brutto was better than expected.,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: entity_candidate_ranker
Fixture ID: ambiguous_place_001
Input:
Existing: Brutto restaurant in London; Brutto article alias. New note: Brutto was better than expected.","{""decision"": ""needs_user_choice"", ""entity_action_any"": [""needs_user_choice"", ""needs_clarification""], ""must_include"": [""Brutto""]}","Zero-tolerance failure: entity_overmerge. Lowest subscores: decision_correctness=0.00, entity_safety=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__entity_candidate_ranker__ambiguous_place_001__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__entity_candidate_ranker__ambiguous_place_001__0.json
89,entity_candidate_ranker,ambiguous_place_001,context,0,zero_tolerance_fail,zero_tolerance_failure,0.2,entity_overmerge,ambiguous_place,"For context, Existing: Brutto restaurant in London; Brutto article alias. New note: Brutto was better than expected.","You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: entity_candidate_ranker
Fixture ID: ambiguous_place_001__context
Input:
For context, Existing: Brutto restaurant in London; Brutto article alias. New note: Brutto was better than expected.","{""decision"": ""needs_user_choice"", ""entity_action_any"": [""needs_user_choice"", ""needs_clarification""], ""must_include"": [""Brutto""]}","Zero-tolerance failure: entity_overmerge. Lowest subscores: decision_correctness=0.00, entity_safety=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__entity_candidate_ranker__ambiguous_place_001__context__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__entity_candidate_ranker__ambiguous_place_001__context__0.json
90,entity_candidate_ranker,ambiguous_place_001,punctuation,0,zero_tolerance_fail,zero_tolerance_failure,0.2,entity_overmerge,ambiguous_place,Existing - Brutto restaurant in London; Brutto article alias New note - Brutto was better than expected,"You are evaluating Brain, a personal memory system.
Return only JSON matching the requested schema.
Be strict on committing durable memory, preserve ambiguity, and never present superseded/deleted facts as current.
Role: entity_candidate_ranker
Fixture ID: ambiguous_place_001__punctuation
Input:
Existing - Brutto restaurant in London; Brutto article alias New note - Brutto was better than expected","{""decision"": ""needs_user_choice"", ""entity_action_any"": [""needs_user_choice"", ""needs_clarification""], ""must_include"": [""Brutto""]}","Zero-tolerance failure: entity_overmerge. Lowest subscores: decision_correctness=0.00, entity_safety=0.00.",artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/raw_full/openai_gpt-5.5__entity_candidate_ranker__ambiguous_place_001__punctuation__0.json,artifacts/full_model_suite_gpt55_1repeat_manual_20260508_205815/parsed/eval_20260508_195937/openai_gpt-5.5__entity_candidate_ranker__ambiguous_place_001__punctuation__0.json
